Name,BSE Code,NSE Code,Industry,Current Price,Sales latest quarter,Profit after tax latest quarter,YOY Quarterly sales growth,YOY Quarterly profit growth,Sales growth,Profit growth,Operating profit latest quarter,Other income latest quarter,EBIDT latest quarter,Depreciation latest quarter,EBIT latest quarter,Interest latest quarter,Profit before tax latest quarter,Tax latest quarter,Extraordinary items latest quarter,Net Profit latest quarter,GPM latest quarter,OPM latest quarter,NPM latest quarter,Equity Capital latest quarter,EPS latest quarter,Operating profit 2quarters back,Operating profit 3quarters back,Sales 2quarters back,Sales 3quarters back,Net profit 2quarters back,Net profit 3quarters back,Operating profit growth,Last result date,Expected quarterly sales growth,Expected quarterly sales,Expected quarterly operating profit,Expected quarterly net profit,Expected quarterly EPS,Sales preceding quarter,Operating profit preceding quarter,Other income preceding quarter,EBIDT preceding quarter,Depreciation preceding quarter,EBIT preceding quarter,Interest preceding quarter,Profit before tax preceding quarter,Tax preceding quarter,Profit after tax preceding quarter,Extraordinary items preceding quarter,Net Profit preceding quarter,OPM preceding quarter,NPM preceding quarter,Equity Capital preceding quarter,EPS preceding quarter,Market Capitalization
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,403.40,37.53,3.82,-66.37,144.27,62.76,570.69,-62.18,37.12,-25.06,7.51,-32.57,0.30,-32.87,-36.15,0.00,3.82,100.00,-165.68,10.18,9.22,1.74,67.77,26.23,158.77,115.07,79.28,37.24,463.06,202403.00,150.40,288.13,-6.70,-33.08,-7.18,160.73,65.36,41.80,107.16,7.62,99.54,0.23,99.31,9.10,89.41,0.00,89.41,40.66,55.63,9.22,20.12,1858.81
7NR Retail Ltd,540615,,Trading,7.61,1.00,-0.23,-90.38,-9.52,-75.63,-562.50,-0.69,0.55,-0.14,0.07,-0.21,0.08,-0.29,-0.06,0.00,-0.23,-23.00,-69.00,-23.00,28.01,-0.08,-0.39,0.11,2.35,6.36,-0.48,0.07,-2150.00,202403.00,-72.45,1.75,-0.29,-0.43,-0.15,1.90,-0.35,-0.03,-0.38,0.07,-0.45,0.02,-0.47,0.00,-0.47,0.00,-0.47,-18.42,-24.74,28.01,-0.17,21.31
7Seas Enter.,540874,,Computers - Software - Medium / Small,70.00,3.17,0.21,193.52,162.50,113.59,123.26,0.47,0.00,0.47,0.19,0.28,0.00,0.28,0.07,0.00,0.21,100.00,14.83,6.62,18.66,0.11,0.52,0.32,2.86,2.75,0.23,0.25,187.72,202403.00,125.00,6.19,0.82,0.61,0.33,3.01,0.34,0.00,0.34,0.07,0.27,0.00,0.27,0.00,0.27,0.00,0.27,11.30,8.97,,0.14,130.62
A B B,500002,ABB,Electric Equipment,7578.80,3080.36,459.60,27.75,87.46,23.37,68.72,565.18,86.83,652.32,31.42,620.90,3.81,616.78,157.49,-0.31,459.29,42.82,18.35,14.92,42.38,21.67,438.53,348.72,2769.19,2508.63,362.87,295.63,67.06,202403.00,23.72,3103.62,470.80,429.04,20.25,2757.49,417.22,71.05,494.81,32.92,461.89,8.16,447.19,108.53,345.20,-6.54,338.66,15.13,12.52,42.38,15.98,160601.12
A B Infrabuild,,ABINFRA,Construction,63.25,75.87,6.39,,,49.33,95.17,10.73,1.02,11.18,0.39,10.79,2.25,9.10,2.28,0.56,4.41,18.58,13.47,8.03,12.67,0.89,1.98,,43.49,,0.73,,89.13,202403.00,,,,,,107.94,13.27,,,,,,,,,,7.00,,,,1.41,314.63
A B M Internatl.,,ABMINTLLTD,Trading,60.05,15.64,-0.21,-32.21,-106.14,9.69,53.02,-1.23,0.09,-1.14,-0.01,-1.13,0.24,-1.37,-1.16,0.00,-0.21,-5.56,-7.86,-1.34,9.41,-0.22,-0.03,-1.13,32.07,24.90,0.03,-1.09,53.63,202403.00,25.01,31.13,-1.64,-1.89,-2.01,21.03,-2.10,0.13,-1.97,0.02,-1.99,0.17,-2.16,0.00,-2.15,0.00,-2.15,-9.99,-10.22,9.41,-2.29,56.50
A F Enterprises,538351,,Trading,16.57,5.35,0.27,-73.72,113.99,-65.01,100.00,0.08,1.01,0.59,0.28,0.31,0.04,0.77,0.44,0.50,0.33,59.25,1.50,5.05,14.11,0.09,-0.20,-0.66,0.77,1.17,0.27,-0.46,81.84,202403.00,-50.87,0.57,-0.19,-0.37,-0.10,1.20,-0.03,0.20,0.17,0.27,-0.10,0.06,-0.16,-0.01,-0.15,0.00,-0.15,-2.50,-12.50,14.11,-0.04,60.80
A G Universal,,AGUL,Trading,61.00,38.29,,,,32.09,860.00,3.31,,,,,,,,,1.20,,,,,2.19,,,,,,,287.90,202403.00,,,,,,40.08,1.49,,,,,,,,,,0.72,,,,1.31,33.45
A K Spintex,539300,,Textiles - Processing,200.10,24.26,0.49,-19.99,-78.03,-6.56,-8.37,3.12,0.00,3.12,2.30,0.82,0.16,0.66,0.17,0.00,0.49,82.65,12.86,2.02,5.03,0.97,5.47,3.87,28.42,27.96,2.75,1.67,-1.32,202406.00,-5.81,26.34,3.92,1.92,3.81,30.54,4.78,0.00,4.78,2.19,2.59,0.18,2.41,0.32,2.10,0.00,2.10,15.65,6.88,5.03,4.17,100.69
A R C Finance,540135,,Finance & Investments,1.12,7.82,0.07,72.25,116.28,33.53,-18.18,0.15,0.00,0.15,0.03,0.12,0.03,0.09,0.02,0.00,0.07,4.60,1.92,0.90,50.50,0.00,0.35,0.20,0.48,0.40,0.20,0.09,-63.93,202403.00,57.95,0.63,0.23,0.14,0.00,0.55,-0.04,0.00,-0.04,0.06,-0.10,0.02,-0.12,-0.03,-0.09,0.00,-0.09,-7.27,-16.36,50.50,0.00,56.55
A-1 Acid,542012,,Trading,348.70,60.43,0.75,-15.62,-29.91,-37.65,-69.61,0.17,1.88,2.05,0.90,1.15,0.25,0.90,0.16,0.00,0.75,12.56,0.28,1.24,11.50,0.65,-0.11,-0.21,47.20,58.97,-0.04,0.18,-106.98,202403.00,-35.14,38.25,-0.09,-1.02,-0.89,39.55,-0.17,1.73,1.56,0.90,0.66,0.13,0.53,0.32,0.21,0.00,0.21,-0.43,0.53,11.50,0.18,401.01
A.K.Capital Serv,530499,,Finance & Investments,1033.75,146.73,29.95,26.20,22.05,27.56,4.66,97.27,0.08,97.35,2.06,95.29,55.19,40.10,9.89,0.00,30.21,100.00,66.29,20.59,6.60,45.38,74.51,75.83,124.43,116.22,19.84,22.47,27.50,202403.00,27.46,148.13,94.25,36.55,54.90,131.82,78.90,0.12,79.02,2.30,76.72,50.69,26.03,6.03,19.81,0.00,20.00,59.85,15.17,6.60,30.02,682.28
A2Z Infra Engg.,533292,A2ZINFRA,Engineering - Turnkey Services,20.44,97.97,-20.40,8.00,53.34,11.18,-399.03,-47.91,49.25,-19.78,1.24,-21.02,1.33,-1.23,-0.77,21.12,-0.46,48.92,-48.90,-20.82,176.12,-0.07,-21.28,0.38,101.96,94.10,-3.49,-1.57,-6208.97,202403.00,11.42,104.85,-15.64,-17.96,-1.02,94.45,-19.78,21.61,-19.14,1.31,-20.45,0.72,-0.20,1.65,-16.71,20.97,-1.85,-20.94,-22.41,176.12,-0.08,359.99
AA Plus Trade,543319,,Trading,25.31,10.98,0.10,,,22.24,152.38,-0.06,0.37,0.12,0.00,0.12,0.02,0.10,0.00,0.00,0.24,0.76,-2.73,1.09,8.16,0.10,,,,,,,64.15,202403.00,,,,,,8.97,-0.13,,,,,,,,,,0.27,,,,0.11,61.57
AAA Technologies,543671,AAATECH,Computers - Software - Medium / Small,113.85,9.40,0.11,-21.60,-86.25,23.39,11.85,0.10,0.28,0.38,0.23,0.15,0.00,0.15,0.03,0.00,0.11,100.00,1.06,1.17,12.83,0.09,1.36,0.89,5.50,3.39,1.03,0.62,20.28,202403.00,11.11,3.77,0.88,0.72,0.56,5.51,1.93,0.25,2.18,0.23,1.95,0.00,1.95,0.49,1.46,0.00,1.46,35.03,26.50,12.83,1.14,146.03
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance - Housing,427.15,691.79,201.76,24.55,26.48,26.60,32.90,526.23,0.02,526.25,5.76,520.49,261.88,258.61,56.85,0.00,201.76,100.00,76.07,29.16,394.76,5.11,,,,,,,28.05,202403.00,,,,,,673.05,516.82,0.03,516.85,5.45,511.40,250.84,260.56,56.29,204.27,0.00,204.27,76.79,30.35,,5.17,18218.74
Aadi Industries,530027,,Plastics Products,5.80,0.00,0.08,,500.00,,50.00,-0.04,0.12,0.08,0.00,0.08,0.00,0.08,0.00,0.00,0.08,,,,10.00,0.08,-0.04,-0.08,0.00,0.00,-0.04,-0.09,8.70,202403.00,,,,,,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,,,10.00,-0.05,5.80
Aakash Explor.,,AAKASH,Oil Drilling / Allied Services,13.92,30.89,3.51,56.72,231.13,-0.38,35.00,6.94,0.39,7.33,1.96,5.37,0.60,4.77,1.26,0.00,3.51,87.63,22.47,11.36,10.13,0.35,3.90,3.47,21.24,18.30,1.26,1.04,27.57,202403.00,8.75,19.90,3.67,1.38,0.14,21.80,2.79,0.05,2.84,1.95,0.89,0.35,0.54,0.13,0.41,0.00,0.41,12.80,1.88,10.13,0.04,140.94
Aananda Lakshmi,539096,,Construction,19.00,0.06,0.46,,-6.12,900.00,824.39,0.01,-1.39,0.46,0.00,0.46,0.00,-1.38,0.00,-1.84,-1.38,83.33,16.67,766.67,3.50,-3.94,-0.04,1.23,0.00,1.32,1.35,1.89,263.06,202403.00,,,,,,0.71,0.63,1.84,2.71,0.00,2.71,0.00,2.47,0.00,2.71,-0.24,2.47,88.73,381.69,3.50,7.06,6.65
Aanchal Ispat,538812,,Steel - Medium / Small,5.53,47.26,1.21,-15.11,107.29,-43.65,73.58,-0.66,0.00,-0.66,0.15,-0.81,-0.73,-0.08,-1.29,0.00,1.21,5.21,-1.40,2.56,20.85,0.58,-1.29,0.41,9.02,44.71,-3.54,-1.86,84.93,202403.00,-19.84,35.84,-2.13,-2.25,-1.08,8.35,-1.90,0.01,-1.89,0.16,-2.05,0.00,-2.05,0.00,-2.05,0.00,-2.05,-22.75,-24.55,20.85,-0.98,11.53
Aarey Drugs,524412,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,49.57,210.35,2.15,29.14,497.22,-5.56,24.14,-1.44,5.14,3.70,1.15,2.55,0.40,2.15,-0.01,0.00,2.15,2.04,-0.68,1.02,28.05,0.85,1.84,1.34,57.83,50.96,1.23,0.72,-42.23,202403.00,8.94,55.52,1.29,0.07,0.03,76.48,2.70,0.29,2.99,1.06,1.93,0.47,1.46,-0.44,1.91,0.00,1.91,3.53,2.50,25.38,0.75,125.83
Aarnav Fashions,539562,,Textiles - Products,48.70,88.36,1.78,12.32,673.91,1.98,467.18,6.95,0.06,7.01,1.79,5.22,2.83,2.39,0.61,0.00,1.78,30.82,7.87,2.01,42.24,0.42,6.74,6.88,80.55,97.08,1.36,1.82,75.84,202406.00,3.20,100.19,7.65,2.69,0.64,100.19,8.32,0.09,8.41,2.33,6.08,3.08,3.00,0.80,2.20,0.00,2.20,8.30,2.20,42.24,0.52,205.70
Aaron Industries,,AARON,Engineering,277.15,19.08,2.33,18.80,40.36,13.21,17.22,3.63,0.09,3.72,0.39,3.33,0.25,3.08,0.76,0.00,2.33,33.28,19.03,12.21,10.47,2.22,2.17,2.78,14.00,15.52,1.20,1.61,16.56,202403.00,14.28,17.74,3.12,2.37,2.27,14.62,2.52,0.03,2.55,0.36,2.19,0.42,1.77,0.57,1.20,0.00,1.20,17.24,8.21,10.47,1.15,290.27
Aartech Solonics,542580,AARTECH,Electric Equipment,219.06,9.98,-0.38,252.65,-22.58,50.95,-5.11,0.52,0.28,0.80,0.14,0.66,0.16,0.50,0.88,0.00,-0.38,38.18,5.21,-3.81,10.59,-0.39,0.06,0.37,9.05,6.38,0.45,0.73,-64.39,202403.00,112.58,13.56,0.38,0.07,0.07,7.34,-0.47,1.44,0.97,0.12,0.85,0.14,0.71,0.13,0.59,0.00,0.59,-6.40,8.04,10.59,0.57,231.99
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,511.40,492.96,26.91,-16.68,-31.94,-14.58,-22.14,54.23,0.10,54.33,11.71,42.62,7.46,35.16,8.25,0.00,26.91,34.11,11.00,5.46,91.94,2.93,59.74,65.42,538.21,577.54,31.62,34.58,-17.07,202406.00,-14.34,494.69,56.42,37.96,4.13,559.53,69.06,1.11,70.17,12.34,57.83,8.09,49.74,13.60,36.14,0.00,36.14,12.34,6.46,91.94,3.93,4701.56
Aarti Industries,524208,AARTIIND,Chemicals,738.40,1773.00,132.00,7.07,-11.41,-3.72,-22.99,283.00,0.00,283.00,98.00,185.00,59.00,126.00,-6.00,0.00,132.00,39.59,15.96,7.45,181.00,3.64,233.00,200.00,1454.00,1414.00,91.00,70.00,-9.87,202403.00,-2.82,1374.20,204.69,63.90,1.76,1732.00,259.00,8.00,267.00,97.00,170.00,54.00,116.00,-8.00,124.00,0.00,124.00,14.95,7.16,181.00,3.42,26768.27
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,647.75,505.77,65.25,4.27,52.20,-4.76,11.92,117.52,2.03,119.55,19.12,100.43,4.68,95.75,30.50,0.00,65.25,49.95,23.24,12.90,45.31,7.20,87.99,84.87,439.80,458.36,51.80,47.09,12.86,202403.00,-4.04,439.83,88.05,65.77,7.26,448.69,95.68,1.39,97.07,18.77,78.30,4.48,73.82,21.06,52.76,0.00,52.76,21.32,11.76,45.31,5.82,5870.30
Aarti Surfactant,543210,AARTISURF,Chemicals,637.20,143.41,2.33,-3.56,-55.62,-1.23,35.79,9.67,0.49,10.16,4.17,5.99,2.57,3.42,1.09,0.00,2.33,20.63,6.74,1.62,8.47,2.75,16.73,16.26,138.75,143.86,6.68,4.75,13.38,202406.00,-1.11,142.26,14.77,7.81,9.23,158.55,15.21,0.05,15.26,4.15,11.11,3.41,7.70,2.11,5.59,0.00,5.59,9.59,3.53,7.94,6.61,538.98
Aarvee Denims,514274,AARVEEDEN,Textiles - Cotton/Blended,38.05,24.00,-6.46,-51.92,58.16,-67.52,33.22,-5.26,0.58,-4.68,1.12,-5.80,6.76,-12.56,-6.10,0.00,-6.46,22.67,-21.92,-26.92,23.46,-2.75,-6.16,-10.53,24.81,10.37,-12.97,-18.59,-10.87,202403.00,-55.84,4.58,-2.96,-10.70,-4.56,25.55,-9.17,3.37,-5.80,1.63,-7.43,7.69,-15.12,-8.52,-6.60,0.00,-6.60,-35.89,-25.83,23.46,-2.81,89.27
Aarvi Encon,,AARVI,Miscellaneous,140.77,103.11,3.04,-3.00,-11.88,-6.96,-25.69,2.97,1.00,3.97,0.34,3.63,0.42,3.21,0.17,0.00,3.04,100.00,2.88,2.95,14.78,2.06,3.18,4.14,102.29,100.87,2.61,3.32,-32.67,202403.00,-6.87,93.94,3.21,2.50,1.69,99.88,2.22,0.90,3.12,0.35,2.77,0.39,2.38,0.01,2.38,0.00,2.38,2.22,2.38,14.78,1.61,208.11
Aashka Hospitals,543346,,Healthcare,111.50,12.07,,,,20.75,192.22,3.63,,,,,,,,,1.93,,,,,0.82,,,,,,,1205.71,202403.00,,,,,,10.80,0.83,,,,,,,,,,0.42,,,,0.18,260.91
AastamangalamFin,511764,,Finance & Investments,42.93,2.21,1.19,92.17,1587.50,109.85,148.28,2.01,0.00,2.01,0.00,2.01,0.42,1.59,0.39,0.00,1.19,100.00,90.95,53.85,8.91,1.34,1.26,1.01,1.42,1.14,0.36,0.76,106.75,202403.00,111.38,2.41,2.17,1.75,1.96,2.26,2.15,0.00,2.15,0.00,2.15,0.39,1.76,0.44,1.31,0.00,1.31,95.13,57.96,8.91,1.47,38.25
Aatmaj Health,,AATMAJ,Healthcare,27.20,7.17,,,,-33.70,-85.11,-1.32,,,,,,,,,-1.41,,,,,-0.62,,,,,,,-74.06,202403.00,,,,,,8.57,3.87,,,,,,,,,,2.29,,,,1.01,61.47
AAVAS Financiers,541988,AAVAS,Finance - Housing,1673.40,542.39,126.10,16.19,14.94,21.53,12.55,404.46,0.17,404.63,8.51,396.12,235.17,160.95,34.85,0.00,126.10,100.00,74.57,23.25,79.14,15.93,373.77,366.99,508.01,496.66,116.65,121.72,24.61,202406.00,21.63,604.10,447.47,202.08,25.54,546.02,407.37,0.78,408.15,9.10,399.05,221.56,177.49,34.88,142.62,0.00,142.62,74.61,26.12,79.12,18.02,13243.24
Aayush Art,540718,,Trading,146.40,0.17,0.03,-89.25,175.00,-44.60,0.00,-0.28,0.08,0.07,0.02,0.05,0.01,0.04,0.01,0.00,0.18,43.48,-4.35,13.04,3.01,0.15,,,,,,,,202403.00,,,,,,7.16,0.12,,,,,,,,,,0.08,,,,0.27,190.50
Aayush Wellness,539528,,Trading,293.70,0.00,0.17,-100.00,156.67,-92.59,239.02,0.23,-0.04,0.19,0.00,0.19,0.00,0.19,0.02,0.00,0.17,,,,3.25,0.52,0.24,-0.08,0.60,0.00,0.28,0.09,143.21,202403.00,,,,,,0.00,-0.03,0.06,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00,0.03,,,3.25,0.09,95.31
AB Cotspin,,ABCOTS,Textiles - Cotton/Blended,220.00,144.75,3.32,,,51.25,247.15,15.12,0.04,5.78,0.80,4.98,0.70,4.28,0.95,0.00,4.72,37.57,18.82,10.89,7.60,4.59,,,,,,,153.26,202403.00,,,,,,111.02,11.32,,,,,,,,,,1.98,,,,1.92,226.43
Aban Offshore,523204,ABAN,Oil Drilling / Allied Services,66.08,137.47,-340.14,88.44,10.13,0.74,-11.29,-32.62,9.99,-22.63,30.73,-53.36,277.05,-330.41,8.43,0.00,-340.14,87.19,-23.73,-247.43,11.67,-58.28,-40.21,-42.21,63.34,104.57,-317.71,-333.25,-17.80,202403.00,21.84,127.40,-53.11,-362.72,-62.15,94.29,-39.44,12.18,-27.26,22.41,-49.67,274.15,-323.82,2.70,-326.79,0.00,-326.79,-41.83,-346.58,11.67,-55.99,385.68
ABans Enterprise,512165,,Trading,132.00,565.61,-1.32,64.80,-200.76,-5.16,-45.05,7.72,1.17,8.89,0.46,8.43,3.59,4.84,6.36,0.00,-1.52,2.04,1.36,-0.27,13.95,-0.95,4.42,6.59,437.41,279.88,2.32,3.59,110.54,202403.00,10.14,308.27,6.13,2.23,1.39,488.08,12.13,1.06,13.19,0.49,12.70,3.62,9.08,3.71,5.06,0.00,5.37,2.49,1.10,13.95,3.63,184.14
Abans Holdings,543712,AHL,Finance & Investments,571.75,252.32,19.49,-55.91,-7.19,18.62,26.00,36.92,0.12,37.04,0.16,36.88,11.64,25.24,4.08,0.00,21.17,25.17,14.63,8.39,10.03,3.89,32.55,33.19,359.42,251.50,23.37,20.85,77.09,202403.00,,,,,,506.20,38.42,0.74,39.16,0.15,39.01,13.17,25.84,1.99,21.65,0.00,23.85,7.59,4.71,10.03,4.32,2867.09
Abate As Indust,531658,,Trading,27.44,0.00,-0.16,,5.88,-100.00,-160.00,-0.16,0.00,-0.16,0.00,-0.16,0.00,-0.16,0.00,0.00,-0.16,,,,5.02,-0.32,-0.05,-0.05,0.00,0.00,-0.05,-0.05,-160.00,202403.00,,,,,,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,,,5.02,-0.04,13.77
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,28227.70,1438.63,287.06,7.11,24.04,9.35,26.48,329.53,81.15,410.68,18.19,392.49,2.81,389.68,102.62,0.00,287.06,43.98,22.91,19.95,21.25,135.09,380.88,355.00,1494.14,1479.00,312.94,290.24,20.50,202403.00,9.40,1618.03,397.45,373.97,175.99,1437.14,387.69,55.61,443.30,17.97,425.33,3.17,422.16,111.18,310.98,0.00,310.98,26.98,21.64,21.25,146.35,59983.86
ABC Gas (Int.),513119,,Trading,96.15,0.00,-0.18,,56.10,-50.00,-470.00,-0.18,0.83,-0.18,0.01,-0.19,0.00,0.64,0.01,0.83,0.63,,,,1.98,3.18,-0.13,-0.07,0.00,0.00,-0.14,-0.09,-253.33,202403.00,,,,,,0.01,-0.16,0.01,-0.15,0.01,-0.16,0.00,-0.16,0.03,-0.20,0.00,-0.20,-1600.00,-2000.00,1.98,-1.01,19.04
ABC India,520123,,Miscellaneous,108.70,39.67,0.15,7.22,-84.38,13.38,-9.47,1.55,0.03,1.56,0.38,1.18,0.58,0.62,0.46,0.02,0.16,60.75,3.91,0.38,5.42,0.30,1.46,1.32,46.13,36.21,0.69,0.77,18.66,202403.00,15.76,41.92,1.51,0.61,1.13,42.58,1.52,0.21,1.72,0.33,1.39,0.53,0.87,0.21,0.65,0.01,0.66,3.57,1.53,5.41,1.22,58.89
Abhinav Capital,532057,,Finance & Investments,193.85,2.31,0.82,-1.28,-48.75,16.45,-4.34,1.99,0.00,1.99,0.00,1.99,1.05,0.94,0.12,0.00,0.82,100.00,86.15,35.50,6.92,1.18,2.79,6.31,3.03,6.60,1.55,5.28,13.40,202403.00,63.41,10.79,10.04,8.97,12.96,3.35,3.13,0.00,3.13,0.00,3.13,1.01,2.12,0.50,1.62,0.00,1.62,93.43,48.36,6.92,2.34,134.23
Abhinav Leasing,538952,,Finance & Investments,2.07,13.77,-1.05,166.86,-3600.00,-21.67,70.00,0.64,0.08,0.72,0.01,0.71,1.70,-0.99,0.05,0.00,-1.05,7.33,4.65,-7.63,5.00,-0.21,0.02,-0.05,6.99,5.23,0.03,0.03,-27.94,202403.00,62.74,8.51,0.11,-1.60,-0.32,6.78,0.37,0.16,0.53,0.01,0.52,0.01,0.51,0.00,0.51,0.00,0.51,5.46,7.52,5.00,0.10,10.35
Abhishek Finle.,538935,,Finance & Investments,33.00,0.20,0.04,81.82,33.33,160.00,200.00,0.02,0.03,0.05,0.01,0.04,0.00,0.04,0.00,0.00,0.04,45.00,10.00,20.00,4.26,0.09,0.06,0.06,0.27,0.35,0.07,0.08,200.00,202406.00,250.08,1.23,0.18,0.14,0.33,0.22,0.01,0.04,0.09,0.01,0.08,0.00,0.04,0.06,0.02,-0.04,-0.02,4.55,9.09,4.26,-0.05,14.07
Abhishek Infra.,539544,,Construction,6.74,0.00,-0.07,-100.00,-123.33,-100.00,,-0.07,0.00,-0.07,0.00,-0.07,0.00,-0.07,0.00,0.00,-0.07,,,,5.05,-0.14,-0.09,-0.05,0.00,0.00,-0.09,-0.05,,202403.00,,,,,,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,,,5.05,-0.10,3.40
Abhishek Integr.,,AILIMITED,Construction,92.90,14.59,,,,12.86,14.93,1.01,,,,,,,,,0.50,,,,,0.83,,,,,,,27.74,202403.00,,,,,,10.86,0.74,,,,,,,,,,0.27,,,,0.45,55.94
Abirami Fin.,511756,,Finance & Investments,58.06,0.00,0.25,,525.00,,-90.07,-0.17,0.58,0.41,0.00,0.41,0.00,0.41,0.15,0.00,0.25,,,,5.40,0.46,-0.24,-0.14,0.00,0.00,0.12,0.17,41.46,202403.00,,,,,,0.00,-0.17,0.48,0.31,0.00,0.31,0.01,0.30,-0.61,0.91,0.00,0.91,,,5.40,1.69,31.35
ABM Knowledge,531161,,Computers - Software - Medium / Small,159.80,23.10,5.84,46.20,85.99,19.80,15.53,6.25,1.76,8.01,0.28,7.73,0.04,7.69,1.85,0.00,5.84,100.00,27.06,25.28,10.00,2.92,3.25,2.27,19.95,17.41,3.40,3.06,4.05,202403.00,21.74,21.20,3.32,2.94,1.47,18.18,2.10,1.44,3.54,0.29,3.25,0.07,3.18,0.61,2.58,0.00,2.58,11.55,14.19,10.24,1.29,319.64
ABS Marine,,ABSMARINE,Shipping,317.05,,,,,21.13,176.41,,,,,,,,,,,,,,,,,,,,,,59.85,202403.00,,,,,,,,,,,,,,,,,,,,,,778.36
ACC,500410,ACC,Cement - North India,2435.30,5154.89,361.36,-0.89,-22.47,7.54,137.39,679.08,72.66,751.74,232.32,519.42,33.14,486.28,124.88,0.00,361.40,46.63,13.17,7.01,187.99,19.24,904.72,549.28,4914.36,4434.73,537.67,387.88,81.65,202406.00,7.82,4781.72,671.13,400.10,21.30,5408.72,836.78,349.99,957.21,235.03,722.18,66.70,885.04,-59.80,730.45,229.56,944.84,15.47,13.51,187.99,50.31,45731.83
Accedere,531533,,Computers - Software - Medium / Small,87.03,0.79,-0.02,51.92,28.00,67.32,-133.33,-0.09,0.15,0.06,0.06,0.00,0.00,0.00,0.02,0.00,-0.02,100.00,-11.39,-2.53,4.49,-0.14,-0.01,0.01,0.42,0.36,-0.06,-0.04,50.00,202403.00,110.31,0.76,0.00,,,0.98,0.07,0.00,0.07,0.05,0.02,0.00,0.02,0.00,0.02,0.00,0.02,7.14,2.04,,0.12,43.78
Accel,517494,,Computers - Software - Medium / Small,23.15,49.87,1.15,1.16,269.12,6.67,26.04,4.31,0.24,5.01,1.43,3.58,1.75,1.37,0.51,-0.46,0.86,51.96,8.64,2.31,11.51,0.16,3.25,4.50,39.06,36.65,0.33,0.98,-6.69,202403.00,7.07,39.24,4.30,0.89,0.16,41.51,4.96,0.32,5.28,1.86,3.42,1.86,1.56,0.41,1.15,0.00,1.15,11.95,2.77,11.51,0.21,133.28
AccelerateBS Ind,543938,,Computers - Software - Medium / Small,335.00,4.07,,,,142.14,-69.23,1.35,,,,,,,,,0.59,,,,,2.75,,,,,,,180.88,202403.00,,,,,,2.71,0.55,,,,,,,,,,-0.56,,,,-2.61,71.98
Accelya Solution,532268,ACCELYA,Computers - Software - Medium / Small,1807.30,128.11,31.19,4.58,-2.87,8.90,-0.92,47.65,3.17,50.82,7.97,42.85,0.89,41.96,10.77,0.00,31.19,100.00,37.19,24.35,14.93,20.90,45.88,48.44,124.75,127.29,30.93,31.53,3.78,202406.00,8.96,138.70,52.37,43.01,28.81,130.99,50.29,-30.95,52.95,7.24,45.71,0.27,11.83,11.63,21.89,-33.61,0.20,38.39,16.71,14.93,0.13,2698.30
Accent Microcell,,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,284.60,138.63,7.06,,,20.23,138.28,19.97,1.12,9.83,1.02,8.81,0.53,8.28,1.23,0.00,16.07,32.61,14.81,12.00,12.94,7.64,,,,,,,103.82,202403.00,,,,,,109.30,19.51,,,,,,,,,,14.10,,,,9.13,598.88
Accord Synergy,,ACCORD,Telecommunications - Service Provider,25.00,16.32,0.79,,,58.21,290.00,0.28,-0.17,1.52,0.27,1.25,0.23,0.85,0.23,-0.17,0.19,100.00,10.05,5.22,2.50,0.55,,,,,,,35.56,202403.00,,,,,,15.55,0.33,,,,,,,,,,0.20,,,,0.58,8.68
Accuracy Shippi.,,ACCURACY,Miscellaneous,12.24,171.35,9.18,-3.49,60.77,-19.25,-93.64,14.44,0.05,14.49,3.46,11.03,2.79,8.24,-0.94,0.00,9.18,78.17,8.43,5.36,15.06,0.61,2.45,2.72,207.37,142.14,-2.08,-3.72,-31.92,202403.00,-16.38,118.85,3.51,-1.50,-0.10,187.47,4.42,-0.37,4.05,3.31,0.74,2.71,-1.97,0.92,-2.89,0.00,-2.89,2.36,-1.54,15.06,-0.19,184.29
ACE EduTremd Ltd,530093,,Miscellaneous,3.22,0.00,-0.02,,-100.00,,20.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,0.00,-0.02,,,,9.16,-0.02,-0.01,-0.01,0.00,0.00,-0.01,-0.06,28.57,202403.00,,,,,,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,,,9.16,-0.01,2.95
