Name,BSE Code,NSE Code,Industry,Current Price,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,225.45,121.37,17.64,0.00,335.31,82.32,39.05,588.44,366.29,0.00,154.06,212.23,12.26,17.40,332.00,189.54,0.00,0.00,17.73,588.44,247.69,5.75,112.83,125.52,5.00,60.30,2.97,62.03,3.53,107.83,179.63,213.47,357.60,7.51,106.23,89.10,80.74,50.93,104.16,124.45,152.01,176.64,202.58,194.99,177.00,795.54
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,70.44,4.17,10.50,0.00,42.88,0.00,12.99,59.78,1.48,0.00,1.39,0.08,0.00,24.64,42.26,6.25,0.13,0.00,7.32,59.78,40.18,0.00,0.00,17.16,10.00,3.92,0.00,0.00,1.05,12.99,-6.34,0.09,1.48,0.00,33.05,40.64,-3.03,5.49,0.00,0.00,0.00,0.06,0.16,0.31,0.89,73.96
360 ONE,542772,360ONE,Finance & Investments,999.10,9471.93,35.89,0.00,3413.84,7636.08,1835.85,15114.36,1129.13,0.00,189.40,939.73,63.86,5947.67,1794.43,2123.91,5947.67,0.00,393.02,15114.36,-329.48,0.00,0.00,328.17,1.00,638.17,0.00,160.63,35.61,6783.67,495.20,879.75,1031.09,39.16,914.37,494.81,,,5076.69,6103.08,,,837.19,336.60,,36254.08
3B Blackbio,532067,,Healthcare,1194.20,0.85,8.57,0.00,214.48,1.12,0.91,248.10,14.36,0.00,6.56,7.40,0.00,117.31,123.40,17.53,0.00,0.00,0.19,248.10,105.93,0.00,8.43,36.25,10.00,62.15,0.00,3.95,0.75,2.03,101.18,7.79,14.36,0.09,76.41,25.74,17.12,13.43,2.01,6.19,8.69,6.89,5.00,3.97,3.28,1024.98
3C IT Solutions,544190,,Computers - Software - Medium / Small,44.10,13.40,0.36,0.00,3.74,9.54,3.86,28.85,1.21,0.00,0.73,0.48,0.00,0.00,28.37,14.15,0.00,0.00,0.00,28.85,17.01,0.00,15.83,10.23,5.00,0.29,0.86,9.17,0.00,10.40,12.75,0.24,0.69,0.00,,,,,,,,,,,,26.55
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,36.88,84.48,169.23,0.00,124.21,38.09,61.15,663.99,1086.86,103.01,608.06,251.19,0.00,2.24,334.60,318.46,0.00,0.00,263.07,663.99,73.06,42.63,0.00,156.83,10.00,54.51,4.71,92.87,16.85,99.24,137.02,478.80,1086.86,41.81,736.87,229.93,159.33,-362.55,138.78,518.65,928.62,2646.69,387.71,806.33,806.39,624.23
3M India,523395,3MINDIA,Diversified - Large,37310.00,17.93,11.27,0.00,2358.93,0.00,26.73,3398.54,583.53,0.00,261.12,317.75,12.32,504.80,2351.72,989.97,0.00,0.00,661.05,3398.54,1371.09,17.93,498.01,679.01,10.00,1118.07,4.28,768.97,1.13,26.73,960.24,322.42,583.53,24.57,1306.62,889.71,848.57,365.26,22.88,13.50,9.78,120.94,248.23,269.48,315.16,42048.39
3P Land Hold.,516092,3PLAND,Finance & Investments,38.18,0.00,3.60,0.00,95.12,0.00,0.00,104.35,0.87,0.00,0.32,0.46,0.00,84.98,0.26,0.07,0.00,0.00,1.83,104.35,0.19,0.00,0.00,0.00,2.00,0.22,0.00,0.00,1.80,0.00,0.11,0.55,0.87,0.00,1.16,0.89,0.00,34.54,0.00,2.37,18.01,54.24,0.74,1.01,1.32,68.73
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,1.69,3.62,34.88,0.00,-18.96,0.00,3.71,19.90,0.00,0.00,0.00,0.00,0.00,0.00,19.36,3.97,0.00,0.00,0.00,19.90,19.01,0.00,0.16,0.00,10.00,0.01,0.00,0.00,3.49,3.71,18.92,0.00,0.00,0.00,19.83,28.33,2.59,0.25,3.43,11.87,12.18,12.01,0.00,0.00,0.00,5.88
5Paisa Capital,540776,5PAISA,Finance & Investments,513.00,336.32,31.19,0.00,508.70,169.28,0.00,2047.85,29.79,0.00,14.29,24.86,0.00,1.97,1830.72,1163.39,8.15,0.00,497.23,2047.85,667.33,0.00,0.00,0.03,10.00,1637.36,0.00,0.71,3.06,169.28,429.17,15.50,29.79,0.00,216.64,85.92,76.82,,233.93,92.01,0.00,,7.78,2.18,0.47,1600.69
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,378.20,5.17,9.22,0.00,3338.15,0.00,4.20,3645.30,681.02,0.00,294.28,369.30,0.52,642.20,1883.91,307.64,5.00,0.00,584.84,3645.30,1578.78,5.17,0.00,45.31,2.00,1282.82,0.00,28.50,4.61,4.20,1518.51,386.74,681.02,0.34,1367.62,1390.52,346.36,1129.80,0.50,4.33,497.64,495.25,363.50,363.86,382.31,1742.67
7NR Retail Ltd,540615,,Trading,5.23,5.27,28.01,0.00,0.70,0.58,1.58,43.32,1.64,0.00,0.76,0.61,0.00,1.64,42.66,9.49,0.00,0.00,0.00,43.32,33.32,0.00,3.26,21.84,10.00,0.14,0.00,7.47,2.80,2.16,30.19,0.88,1.64,0.00,11.29,7.12,3.80,0.55,0.15,0.30,0.00,4.25,1.10,1.27,0.86,14.66
7Seas Enter.,540874,,Computers - Software - Medium / Small,60.36,0.36,18.66,0.00,-8.49,1.76,2.22,10.87,1.19,0.00,0.08,3.04,0.35,0.00,6.82,0.54,0.00,0.00,0.00,10.87,6.64,0.00,0.00,0.57,10.00,1.17,0.00,0.06,1.51,3.98,1.73,1.11,1.19,0.35,-0.47,-0.34,8.51,9.30,5.31,6.58,4.92,5.19,0.01,1.25,2.51,112.65
A B B,500002,ABB,Electric Equipment,8531.25,48.98,42.38,0.00,5902.22,0.00,48.98,11001.19,1577.03,0.00,583.08,993.95,59.92,1.56,9547.49,5014.16,0.00,0.00,577.25,11001.19,4553.38,48.98,1560.76,2544.30,2.00,4816.17,477.36,3109.08,21.19,33.09,3067.17,899.17,1375.92,69.25,2162.95,-308.95,2076.40,1477.28,58.24,6.92,600.04,620.11,782.73,893.14,1254.91,180784.34
A B Infrabuild,,ABINFRA,Construction,55.00,21.43,12.67,0.00,37.33,29.48,2.83,156.62,5.09,0.00,2.14,36.22,1.08,0.18,115.98,57.62,0.00,0.00,0.00,156.62,79.79,0.00,50.51,20.96,10.00,10.04,1.46,17.61,1.43,32.31,53.78,2.94,5.09,2.37,45.77,28.10,29.30,29.35,24.83,25.09,35.38,38.67,1.06,1.98,3.85,273.60
A B M Internatl.,,ABMINTLLTD,Trading,61.99,10.05,9.41,0.00,5.45,0.00,0.00,39.15,3.64,0.00,3.04,0.56,0.00,4.68,30.49,24.01,0.00,0.03,18.94,39.15,16.53,0.00,14.11,4.82,10.00,4.21,1.61,13.49,0.94,0.00,10.96,0.60,3.64,0.00,17.68,9.19,7.07,,0.00,0.00,0.18,,0.66,1.45,1.87,58.32
A F Enterprises,538351,,Trading,11.30,6.64,14.11,0.00,19.23,0.07,5.47,134.68,12.87,0.00,5.91,5.85,0.00,0.28,125.26,93.62,0.00,0.00,0.21,134.68,31.64,0.00,1.53,117.57,10.00,0.75,8.00,84.00,3.67,5.54,30.28,6.96,12.87,0.00,5.02,,,,3.47,,,,7.17,,,41.46
A G Universal,,AGUL,Trading,64.40,15.47,4.03,0.00,11.94,16.67,0.00,48.15,13.58,0.00,0.57,8.43,0.00,7.24,29.66,18.12,0.00,1.72,0.00,48.15,14.49,0.00,14.86,9.69,10.00,0.07,1.76,12.76,0.40,16.67,8.39,13.01,13.58,0.00,5.97,,,,9.45,,,,5.15,,,35.31
A K Spintex,539300,,Textiles - Processing,259.40,7.14,5.03,0.00,33.94,9.93,0.00,68.57,69.97,0.00,42.46,38.13,0.00,0.00,29.49,26.69,0.00,0.00,0.00,68.57,8.09,0.00,7.44,16.87,10.00,0.03,0.00,17.25,0.50,9.93,13.35,27.51,69.97,0.00,11.15,9.73,6.10,9.89,10.97,13.27,9.77,15.52,20.95,22.42,17.62,130.54
A R C Finance,540135,,Finance & Investments,1.18,16.08,50.50,0.00,0.68,0.88,13.88,71.50,1.57,0.00,0.00,1.37,0.00,0.30,25.26,4.25,0.00,0.00,0.00,71.50,21.01,0.00,23.24,1.24,1.00,0.31,0.00,4.06,50.49,14.76,10.25,1.57,1.57,0.00,1.08,57.87,50.01,0.16,0.09,7.79,0.00,0.01,0.19,0.12,0.01,59.61
A-1 Acid,542012,,Trading,346.00,10.74,11.50,0.00,36.27,11.16,3.01,63.51,28.00,0.00,11.65,13.12,0.26,4.72,43.20,12.42,0.00,0.00,0.53,63.51,38.84,0.00,1.88,31.04,10.00,6.64,3.38,3.01,1.15,14.17,40.95,16.35,28.00,0.08,40.69,31.07,16.66,,16.61,14.71,18.85,,14.17,14.49,11.24,397.91
A.K.Capital Serv,530499,,Finance & Investments,1050.00,2753.92,6.60,0.00,912.47,2117.06,46.94,3806.35,90.49,0.00,20.81,79.15,1.88,2729.05,382.90,92.80,166.45,0.00,0.00,3806.35,290.10,0.00,0.00,1.95,10.00,29.93,3.70,6.61,0.66,2164.00,559.65,69.68,90.49,0.00,603.62,921.58,1146.87,489.64,1391.01,1878.13,2002.00,600.28,65.67,66.53,52.15,693.00
A2Z Infra Engg.,533292,A2ZINFRA,Engineering - Turnkey Services,21.67,197.95,176.12,0.00,-143.94,302.01,11.43,682.96,322.61,0.00,249.87,75.39,57.66,35.61,435.66,603.34,0.00,0.00,334.76,682.96,29.29,0.20,0.00,156.19,10.00,2.86,11.75,277.69,17.61,313.44,121.76,72.74,322.61,54.76,376.89,341.21,605.85,768.93,527.09,434.40,1644.99,1409.45,113.58,168.38,342.31,381.65
AA Plus Trade,543319,,Trading,20.00,1.33,8.16,0.00,5.28,0.00,1.97,26.78,0.02,0.00,0.00,0.03,0.00,0.00,26.74,13.34,0.00,0.00,0.00,26.78,14.73,0.00,0.00,11.44,10.00,0.13,0.00,11.54,2.45,1.97,14.89,0.02,0.02,0.00,7.17,5.40,,,1.14,0.01,,,0.03,0.05,,48.65
AAA Technologies,543671,AAATECH,Computers - Software - Medium / Small,110.90,0.00,12.83,0.00,15.13,0.00,0.00,29.39,3.39,0.00,1.37,1.42,0.00,0.00,27.93,1.43,0.00,0.00,1.06,29.39,26.50,0.00,0.00,5.95,10.00,20.51,0.00,0.00,1.28,0.00,23.39,2.02,3.39,0.00,21.77,6.17,4.21,3.55,0.00,0.54,0.71,0.77,0.97,1.12,0.39,142.24
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance - Housing,416.20,13959.62,394.76,0.00,4054.99,12087.98,65.47,19093.06,90.05,0.00,26.73,79.82,0.00,461.97,1569.58,656.55,0.00,0.00,8.99,19093.06,913.03,0.00,0.00,0.00,10.00,1273.43,2.56,108.64,39.48,12153.45,1486.12,63.32,90.05,0.00,1921.34,867.74,,,10374.47,8194.97,,,53.13,41.67,,17751.69
Aadi Industries,530027,,Plastics Products,6.86,6.83,10.00,0.00,-16.69,0.35,6.60,0.19,0.05,0.00,0.04,0.01,0.00,0.00,0.18,6.88,0.00,0.00,14.36,0.19,0.13,0.00,0.00,0.01,10.00,0.09,0.00,0.02,1.00,6.95,0.33,0.02,0.05,0.00,0.43,-6.85,-3.25,4.70,6.53,0.35,3.66,13.07,0.03,0.01,0.02,6.86
Aakash Explor.,,AAKASH,Oil Drilling / Allied Services,14.16,18.11,10.13,0.00,48.40,11.11,13.07,93.76,88.50,0.00,25.45,59.03,0.00,7.01,33.03,27.20,0.00,0.00,5.08,93.76,17.87,0.00,0.00,24.54,1.00,0.83,0.00,3.12,10.12,24.18,6.09,63.04,88.50,0.00,7.34,13.71,8.08,,18.17,27.03,14.52,,41.95,38.81,19.21,143.37
Aananda Lakshmi,539096,,Construction,14.58,21.37,3.50,0.00,-21.94,0.00,25.32,13.35,7.20,0.00,4.88,1.80,0.00,0.00,11.29,8.78,0.00,0.00,42.10,13.35,2.51,0.00,1.18,2.58,10.00,0.06,1.10,3.39,0.35,25.32,-0.17,2.32,7.20,0.00,-4.14,-2.63,-6.91,3.99,31.56,41.88,39.51,28.23,6.94,19.72,22.56,5.10
Aanchal Ispat,538812,,Steel - Medium / Small,6.14,84.11,20.85,0.00,-4.03,80.89,0.00,116.99,34.82,18.12,9.54,24.59,0.48,0.09,82.34,99.90,0.00,0.00,11.05,116.99,66.55,0.00,11.78,56.49,10.00,6.13,0.13,2.43,2.09,80.89,70.25,25.28,34.82,0.48,95.67,83.78,73.30,44.58,70.81,45.44,39.21,28.26,25.73,26.82,25.88,12.80
Aarey Drugs,524412,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,45.65,31.35,28.05,0.00,104.72,4.36,33.36,304.99,33.17,0.00,19.23,14.66,0.00,1.38,282.60,168.24,0.00,0.00,0.00,304.99,142.49,0.00,34.68,184.48,10.00,1.59,0.00,128.94,2.54,37.72,135.83,13.94,33.17,0.00,105.60,91.48,48.50,35.01,18.02,16.16,10.39,5.72,14.26,12.27,12.15,115.88
Aarnav Fashions,539562,,Textiles - Products,47.80,109.26,42.24,0.00,136.73,114.54,12.71,390.51,198.39,0.00,63.96,130.21,0.00,13.21,248.30,166.89,0.00,0.00,2.39,390.51,172.44,0.00,110.16,106.41,10.00,3.94,0.40,42.41,4.22,127.25,167.67,134.42,198.39,0.00,176.84,3.44,2.88,0.08,143.08,0.00,0.02,0.00,145.75,0.00,0.00,201.91
Aaron Industries,,AARON,Engineering,263.20,31.57,10.47,0.00,25.37,9.58,1.79,74.68,22.30,0.00,3.39,24.35,26.90,0.00,23.20,15.76,0.00,0.00,0.10,74.68,17.35,0.00,16.40,3.53,10.00,2.56,1.36,2.66,1.00,11.37,13.40,18.92,22.30,0.41,6.25,5.01,1.51,,7.07,5.27,1.33,,12.88,8.71,0.12,275.65
Aartech Solonics,542580,AARTECH,Electric Equipment,200.40,4.20,10.59,0.00,18.94,2.66,0.00,41.12,8.66,0.00,3.56,4.58,0.00,14.49,30.10,11.13,0.00,0.37,3.46,41.12,23.11,0.10,7.74,9.48,10.00,2.34,0.01,5.50,1.06,2.66,15.31,5.10,8.66,0.00,8.85,11.39,,,1.11,1.10,,,5.01,5.06,,212.22
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,524.30,564.28,91.94,0.00,1189.61,507.15,101.76,2432.36,1204.97,0.00,528.74,846.74,225.23,19.97,1320.72,795.55,0.00,0.00,191.39,2432.36,813.21,1.86,485.89,704.55,10.00,9.43,0.00,425.49,9.26,608.91,963.20,676.23,1204.97,210.35,661.06,456.56,320.52,,350.76,507.21,479.50,,665.40,624.86,581.09,4820.13
Aarti Industries,524208,AARTIIND,Chemicals,694.75,3242.00,181.00,0.00,5109.00,2470.57,436.74,9616.00,6306.26,0.00,1445.31,5826.00,1052.00,23.00,2469.00,2577.00,0.00,0.00,461.43,9616.00,1561.00,58.00,1160.00,826.00,5.00,130.00,66.71,521.00,36.25,2907.31,1923.30,4860.95,6306.26,1096.22,1191.53,1935.77,836.08,724.37,2856.96,2401.08,1563.85,1038.93,3592.58,2146.67,1697.02,25185.00
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,608.10,285.25,45.31,0.00,1711.73,193.43,21.88,2582.10,1431.25,0.00,505.41,1091.74,78.50,107.17,1345.64,694.38,0.00,0.00,0.01,2582.10,919.81,21.15,642.86,519.34,5.00,24.06,0.00,378.32,9.06,215.31,740.23,925.84,1431.25,101.87,0.25,,,,0.02,,,,0.00,,,5510.96
Aarti Surfactant,543210,AARTISURF,Chemicals,682.35,99.21,8.47,20.87,210.78,128.26,0.00,423.41,294.47,0.00,90.50,206.41,5.79,5.25,199.37,129.18,0.00,0.00,11.62,423.41,119.80,1.98,99.21,70.11,10.00,6.22,5.41,67.27,0.85,128.26,114.20,203.97,294.47,6.58,82.38,64.99,,,132.52,96.65,,,186.74,137.87,,577.17
Aarvee Denims,514274,AARVEEDEN,Textiles - Cotton/Blended,28.21,277.65,23.46,0.00,-6.26,283.03,113.50,438.49,560.04,0.00,357.69,72.38,0.00,0.00,282.81,275.95,0.00,0.00,29.75,438.49,140.35,0.00,89.57,99.73,10.00,2.22,6.60,51.91,2.35,396.53,190.67,202.35,560.04,1.44,282.76,346.00,258.01,249.76,432.69,434.22,355.15,395.65,273.64,388.97,374.67,66.18
Aarvi Encon,,AARVI,Miscellaneous,139.79,9.75,14.78,0.00,101.92,3.40,0.00,171.02,17.85,0.00,7.75,9.65,0.00,0.40,134.55,52.56,0.00,0.00,15.44,171.02,91.74,0.00,0.00,82.97,10.00,23.33,0.00,7.96,1.48,3.40,66.83,10.10,17.85,0.00,53.82,34.11,26.63,20.44,3.54,8.14,14.51,11.17,10.21,12.39,7.31,206.68
Aashka Hospitals,543346,,Healthcare,117.15,20.39,23.37,0.00,72.91,12.89,16.30,121.45,65.86,0.00,20.39,43.23,0.00,0.00,10.49,16.23,0.00,0.00,0.00,121.45,6.38,0.00,0.37,4.82,10.00,1.98,0.00,2.00,2.34,29.19,9.77,45.47,65.86,0.05,6.35,-4.66,,,27.87,32.99,,,49.49,46.36,,274.12
AastamangalamFin,511764,,Finance & Investments,44.23,40.22,8.91,0.00,28.77,0.00,36.14,80.56,0.09,0.00,0.04,0.03,0.00,0.00,6.68,2.60,0.00,0.00,0.07,80.56,4.08,0.00,0.00,0.00,10.00,6.20,0.00,0.00,0.43,36.14,17.54,0.05,0.09,0.00,-0.09,2.83,3.20,4.59,0.00,0.00,0.00,0.00,0.01,0.01,0.00,39.41
Aatmaj Health,,AATMAJ,Healthcare,26.25,5.48,8.10,0.00,38.18,10.69,1.00,57.68,13.58,0.00,2.41,18.18,0.00,0.00,39.51,6.15,0.00,0.00,0.00,57.68,37.60,0.00,0.64,20.62,5.00,10.81,0.00,1.32,1.62,11.69,15.38,11.17,13.58,0.00,-0.36,,,,4.33,,,,8.21,,,59.33
AAVAS Financiers,541988,AAVAS,Finance - Housing,1870.35,12398.31,79.14,0.00,3694.18,9233.24,654.04,16519.45,187.87,0.00,109.51,127.20,0.00,182.16,2188.14,240.77,125.72,0.00,0.00,16519.45,1947.37,61.81,0.00,12.22,10.00,1797.82,0.00,30.94,7.90,9887.28,1509.03,78.37,187.87,20.37,1221.19,781.06,103.63,-31.22,6377.72,3653.25,1793.39,354.40,58.26,22.82,10.17,14801.89
Aayush Food&Herb,539528,,Trading,299.00,0.00,3.25,0.00,1.67,0.00,0.00,5.02,0.30,0.00,0.10,0.01,0.00,0.00,0.56,0.10,0.00,0.00,0.00,5.02,0.46,0.00,0.00,0.02,10.00,0.05,0.00,0.00,0.32,0.00,4.20,0.20,0.30,0.00,8.19,5.69,4.98,0.09,2.20,0.83,0.95,0.00,0.82,0.84,0.20,97.02
AB Cotspin,,ABCOTS,Textiles - Cotton/Blended,259.00,121.67,10.49,0.00,57.98,87.56,10.54,198.05,91.05,0.00,13.71,72.08,0.00,0.96,118.68,82.12,0.00,0.00,2.27,198.05,113.23,0.00,64.83,38.16,10.00,0.05,0.00,0.81,1.03,98.10,60.11,77.34,91.05,0.00,33.62,23.31,13.71,,36.09,33.94,28.42,,24.85,24.10,29.84,266.57
Aban Offshore,523204,ABAN,Oil Drilling / Allied Services,65.50,15307.87,11.67,0.00,-23883.59,14834.65,300.19,1515.04,3016.30,0.00,2323.36,669.08,0.00,21.98,566.01,25386.45,0.00,0.00,1481.06,1515.04,-9512.57,0.00,112.07,138.64,2.00,43.51,0.00,389.19,5.84,15134.84,-8143.27,692.95,3016.30,0.00,-20147.60,-16109.24,-1213.23,-2398.37,15185.04,14351.32,14005.13,14560.88,3191.11,11261.99,16202.82,382.29
ABans Enterprise,512165,,Trading,132.20,155.03,13.95,0.00,171.58,19.94,70.38,445.13,8.71,0.00,5.92,3.40,0.00,117.25,387.54,228.91,0.00,10.05,36.65,445.13,288.86,0.00,99.36,180.44,10.00,16.58,0.00,93.14,1.39,90.32,262.89,2.78,8.71,0.00,248.03,,,,69.79,,,,12.98,,,184.42
Abans Holdings,543712,AHL,Finance & Investments,486.05,928.97,10.03,2.43,920.80,343.79,95.13,2897.39,28.07,0.00,8.82,20.61,0.00,1007.13,2685.12,1678.20,161.86,516.02,122.91,2897.39,1733.03,0.03,55.84,221.02,2.00,288.76,8.82,144.64,5.01,438.92,757.15,19.25,28.07,0.00,851.64,767.06,,,267.54,383.52,,,20.38,27.05,,2437.34
Abate As Indust,531658,,Trading,28.70,1.22,5.02,0.00,-5.92,0.00,0.62,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.23,1.23,0.00,0.00,0.00,0.33,0.22,0.00,0.00,0.00,10.00,0.08,0.00,0.00,0.50,0.62,0.52,0.00,0.00,0.00,0.73,0.31,0.37,4.05,0.12,0.00,0.01,0.00,0.00,0.01,0.02,14.41
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,27720.00,83.23,21.25,0.00,3677.64,0.00,113.17,5193.49,366.93,0.00,130.02,224.94,10.11,0.00,3245.84,1342.72,0.00,0.00,87.46,5193.49,1949.59,83.23,619.58,319.11,10.00,2134.49,0.00,1002.69,2.12,113.17,1864.77,236.91,366.93,3.66,2491.45,1904.09,1261.38,690.36,152.58,0.00,0.00,0.00,250.78,104.96,109.60,58905.01
ABC Gas (Int.),513119,,Trading,91.58,0.00,1.98,0.00,1.98,0.11,0.46,4.03,0.38,0.05,0.19,0.02,0.00,0.00,4.01,0.07,0.08,0.00,0.25,4.03,3.94,0.00,0.27,0.00,10.00,3.70,0.00,0.06,0.20,0.57,3.95,0.19,0.38,0.00,2.65,2.79,3.28,3.36,1.52,1.02,1.67,1.54,0.16,0.22,0.28,18.13
ABC India,520123,,Miscellaneous,112.30,20.66,5.41,0.00,39.79,19.47,1.28,98.63,10.33,0.00,3.83,11.73,0.00,25.57,74.06,45.83,0.00,0.00,5.96,98.63,44.54,0.82,0.75,26.54,10.00,2.86,0.23,25.66,0.54,20.75,32.55,6.49,10.33,0.00,17.57,20.77,26.62,54.97,17.96,17.37,32.83,65.51,12.76,12.24,24.21,60.83
Abhinav Capital,532057,,Finance & Investments,207.75,37.50,6.92,0.00,70.14,0.00,0.00,122.25,0.38,0.00,0.36,0.02,0.00,48.44,122.22,37.55,0.00,0.00,0.11,122.25,122.17,0.00,0.00,0.00,10.00,51.14,0.00,0.05,0.69,0.00,22.03,0.02,0.38,0.00,0.17,0.07,15.80,10.87,0.01,14.80,0.00,0.00,0.02,0.03,0.06,143.86
Abhinav Leasing,538952,,Finance & Investments,2.70,30.05,5.00,0.00,0.85,0.00,0.00,44.72,0.53,0.00,0.39,0.10,0.00,0.66,10.13,8.81,0.00,0.00,0.00,44.72,1.32,0.00,8.21,0.12,1.00,1.42,0.00,0.00,5.00,0.00,-18.18,0.15,0.53,0.00,-5.84,3.47,0.57,1.79,0.00,0.00,1.00,0.00,0.02,0.04,0.06,13.50
Abhishek Finle.,538935,,Finance & Investments,37.00,0.01,4.26,0.00,0.16,0.00,0.07,4.81,0.61,0.00,0.51,0.07,0.00,0.14,2.70,0.37,0.19,0.00,0.00,4.81,2.33,0.00,0.68,0.03,10.00,2.00,0.00,0.00,0.43,0.07,2.03,0.10,0.61,0.00,1.49,1.46,3.40,3.36,0.07,0.01,0.01,0.01,0.04,0.07,0.12,15.78
Abhishek Infra.,539544,,Construction,7.14,1.21,5.05,0.00,-0.97,0.00,1.08,7.77,0.13,0.00,0.12,0.00,0.00,0.14,7.32,2.49,0.00,0.00,0.00,7.77,4.83,0.00,0.00,4.22,10.00,0.08,2.16,0.26,0.50,1.08,4.97,0.00,0.13,0.00,2.96,,,,0.00,,,,0.00,,,3.60
Abhishek Integr.,,AILIMITED,Construction,69.45,5.62,3.01,0.00,3.21,3.55,0.54,16.27,1.84,0.00,0.16,2.15,0.00,0.00,12.98,5.48,0.00,0.00,2.13,16.27,11.75,0.00,7.73,2.98,10.00,0.60,0.00,0.26,0.60,4.09,9.04,1.68,1.84,0.00,2.03,0.01,,,0.12,0.00,,,0.19,0.00,,41.82
Abirami Fin.,511756,,Finance & Investments,58.20,0.00,5.40,0.00,15.21,0.00,0.00,21.06,0.04,0.00,0.02,0.01,0.00,0.89,20.15,0.45,0.00,0.00,0.00,21.06,19.70,0.00,0.00,0.00,10.00,18.87,0.00,0.00,0.60,0.00,21.56,0.02,0.04,0.00,5.19,4.74,0.71,2.11,0.00,0.00,0.00,0.00,2.16,2.36,2.59,31.43
ABM Knowledge,531161,,Computers - Software - Medium / Small,148.00,0.00,10.24,0.00,211.92,0.00,0.00,253.25,52.59,0.00,9.62,41.82,0.00,111.19,171.72,19.63,5.23,84.87,67.93,253.25,152.09,0.00,0.00,41.07,5.00,16.16,0.00,1.51,2.00,0.00,56.91,42.98,52.59,0.00,70.04,67.71,74.28,37.52,0.00,0.00,0.00,0.00,43.92,45.71,47.69,296.03
ABS Marine,,ABSMARINE,Shipping,357.00,45.68,18.00,0.00,99.17,31.78,13.90,184.81,245.46,0.00,163.66,81.80,0.00,10.55,52.42,30.38,0.00,0.00,1.15,184.81,40.90,0.00,0.00,32.06,10.00,7.06,0.00,5.00,,48.66,24.22,85.87,234.00,0.00,27.27,,,,85.62,,,,119.18,,,876.45
ACC,500410,ACC,Cement - North India,2649.60,354.85,187.99,0.00,16141.68,0.00,354.85,23385.64,15359.97,0.00,5161.65,10025.27,985.81,810.55,8967.42,6096.84,0.00,0.00,3466.75,23385.64,3001.67,354.85,1868.55,827.50,10.00,1862.87,258.63,1924.89,18.78,153.04,2641.50,7511.89,12070.38,1684.00,3662.87,1978.28,53.54,-1288.29,102.48,0.00,0.00,35.03,6694.44,7088.17,7567.77,49756.14
Accedere,531533,,Computers - Software - Medium / Small,85.50,0.27,4.76,0.00,-0.71,0.00,0.25,4.67,1.19,0.00,0.65,0.47,0.00,0.04,3.73,0.53,0.00,0.00,0.00,4.67,3.47,0.00,0.55,0.37,10.00,2.36,0.00,0.07,0.50,0.25,3.13,0.54,1.19,0.00,3.21,3.19,,,0.05,0.05,,,0.30,0.30,,43.01
Accel,517494,,Computers - Software - Medium / Small,22.42,73.87,11.51,0.00,53.79,58.74,11.51,188.26,157.36,23.63,66.81,92.21,0.06,5.38,66.09,64.67,0.00,0.00,7.78,188.26,21.61,7.23,7.54,34.77,2.00,9.73,0.00,25.36,5.76,70.25,17.74,90.55,157.36,0.31,7.65,20.20,-3.44,,71.75,5.66,5.86,,88.82,44.40,16.57,129.06
AccelerateBS Ind,543938,,Computers - Software - Medium / Small,339.00,0.54,1.96,0.00,1.76,0.00,0.33,4.85,0.57,0.00,0.06,0.40,0.00,0.00,4.38,0.14,0.60,0.00,0.00,4.85,4.24,0.00,0.00,1.93,10.00,2.23,0.00,0.02,0.20,0.33,1.36,0.51,0.57,0.00,,,,,,,,,,,,72.85
Accelya Solution,532268,ACCELYA,Computers - Software - Medium / Small,1744.90,11.40,14.93,0.00,274.01,0.00,14.64,370.05,259.18,0.00,172.32,82.49,1.30,33.99,261.35,72.08,0.00,0.00,7.04,370.05,198.34,11.40,0.00,85.69,10.00,80.87,0.00,30.90,1.49,24.96,115.83,101.36,276.33,1.95,119.04,63.18,4.30,-17.14,49.46,0.00,0.00,0.07,136.84,69.11,76.89,2605.14
